level,scenario,mission,attempts,wins,average_score,average_duration_seconds,attempts_before_success,average_duration_before_success,max_score,difficulty
levels/tutoriel/tutoriel.xml,Tutoriel,Tutoriel,1543,1442,9819.414128321452,89.02462475696696,1.2,172.5282,15500.0,0.3664894110760354
levels/explorateur/niveau01.xml,Explorateur,Mission 01,2128,2030,14766.328477443609,32.97057142857143,1.25,101.24633333333333,15500.0,0.04733364661654138
levels/explorateur/niveau02.xml,Explorateur,Mission 02,2070,2020,12604.632850241545,17.79945458937198,1.1428571428571428,13.084142857142856,15500.0,0.1867978806295777
levels/explorateur/niveau03.xml,Explorateur,Mission 03,2237,1951,10119.422440768887,33.01687438533751,1.2040816326530612,71.3104693877551,15500.0,0.3471340360794266
levels/explorateur/niveau04.xml,Explorateur,Mission 04,2455,2137,8825.752749490835,41.14505702647658,1.3896103896103895,91.76981818181818,15500.0,0.4305965968070429
levels/explorateur/niveau05.xml,Explorateur,Mission 05,2619,2082,7242.589156166476,61.278805651011844,1.6478260869565218,93.8605347826087,15678.0,0.5380412580580127
levels/tutoriel/ouvrirporte.xml,Explorateur,Mission 06,2622,2419,4714.301678108314,52.25114416475972,1.1451612903225807,64.92825806451613,14483.0,0.6744941187524467
levels/explorateur/niveau06.xml,Explorateur,Mission 07,2272,1838,6947.249559859155,96.85654533450705,1.7696335078534031,139.96048167539269,15500.0,0.5517903509768287
levels/explorateur/niveau07.xml,Explorateur,Mission 08,1941,1626,7235.580113343637,92.99271251931994,1.7165354330708662,131.2245433070866,15678.0,0.5384883203633348
levels/tutoriel/nommerscript.xml,Collaborateur,Mission 01,1797,1532,4962.971062882582,79.93228658875904,1.2276422764227641,108.85900813008129,13930.0,0.6437206702884004
levels/collaborateur/niveau01.xml,Collaborateur,Mission 02,1309,1233,10772.59281894576,42.854532467532465,1.3636363636363635,84.37112121212121,16000.0,0.32671294881588997
levels/collaborateur/niveau02.xml,Collaborateur,Mission 03,2361,1544,6598.029224904702,77.91614951291825,1.8542857142857143,163.86349142857142,15678.0,0.5791536404576667
levels/collaborateur/niveau03.xml,Collaborateur,Mission 04,1917,1292,6584.418883672405,107.15055399061032,1.80078125,211.07094921875,15678.0,0.5800217576430409
levels/collaborateur/niveau04.xml,Collaborateur,Mission 05,2145,1827,9115.454545454546,77.11959999999999,1.3452380952380953,146.90716666666665,14483.0,0.3706100569319515
levels/infiltration/niveau07.xml,Collaborateur,Mission 06,1394,1198,3364.2073170731705,67.86094272022956,1.4406779661016949,100.32559322033899,13908.0,0.7581099139291652
levels/infiltration/niveau10.xml,Collaborateur,Mission 07,1245,917,2882.5662650602408,61.18439277108434,1.3986013986013985,89.32776223776223,14168.0,0.7965438830420496
levels/collaborateur/niveau05.2.xml,Collaborateur,Mission 08,739,289,1526.8200270635994,47.21656833558863,2.4266666666666667,103.51824,6000.0,0.7455299954894001
levels/collaborateur/niveau06.xml,Collaborateur,Mission 09,2676,659,2609.4857997010463,58.702289611360236,3.3389121338912133,190.4049748953975,15678.0,0.8335574818407293
levels/collaborateur/niveau07.xml,Collaborateur,Mission 10,1368,548,4494.570175438596,94.56433918128656,2.4669421487603307,216.73822727272727,14143.0,0.6822053188546563
levels/tutoriel/createscript.xml,Collaborateur,Mission 11,563,532,6301.907637655418,54.239543516873894,1.0833333333333333,46.39566666666667,14143.0,0.5544150719327288
levels/collaborateur/niveau08.xml,Collaborateur,Mission 12,1370,738,6261.383941605839,97.90286569343066,2.2819383259911894,226.57972687224668,14526.0,0.5689533290922595
levels/repetiteur/niveau01.xml,Repetiteur,Mission 01,673,627,9071.277860326894,38.22018870728083,1.0,40.82944444444444,15678.0,0.42140082533952705
levels/repetiteur/niveau02.xml,Repetiteur,Mission 02,889,597,7931.523059617548,42.54277615298088,1.713235294117647,59.48425735294118,14088.0,0.4370014863985273
levels/repetiteur/niveau03.xml,Repetiteur,Mission 03,738,547,7429.571815718157,65.2505433604336,1.5393258426966292,106.88257303370786,11888.0,0.3750360181932909
levels/blocklymaze/niveau04.xml,Repetiteur,Mission 04,1119,556,2453.6237712243073,67.24532797140304,1.6654676258992807,128.87260791366907,14143.0,0.8265132029113832
levels/repetiteur/niveau04.xml,Repetiteur,Mission 05,616,465,7208.51461038961,71.03849188311689,1.5694444444444444,110.54134722222221,13784.0,0.47703753552019657
levels/repetiteur/niveau05.xml,Repetiteur,Mission 06,2055,425,2079.0238442822383,90.733000486618,4.980544747081712,433.53743190661476,14143.0,0.8529997988911661
levels/repetiteur/niveau06.xml,Repetiteur,Mission 07,1553,636,2131.0218931101094,53.25734320669671,2.725,139.13265833333335,11930.0,0.8213728505356153
levels/repetiteur/niveau07.xml,Repetiteur,Mission 08,1701,725,3859.8201058201057,77.30238095238096,2.1822916666666665,168.00425520833332,10214.0,0.6221049436244267
levels/tutoriel/ouvrirporte.xml,Repetiteur,Mission 09,2622,2419,4714.301678108314,52.25114416475972,1.1451612903225807,64.92825806451613,14483.0,0.6744941187524467
levels/repetiteur/niveau08.2.xml,Repetiteur,Mission 10,238,44,1450.2436974789916,99.55106722689075,5.545454545454546,362.4187727272727,8766.0,0.8345603813051572
levels/blocklymaze/niveau06.xml,Selectionneur,Mission 01,1247,309,1196.5364875701684,84.38368163592622,3.1077844311377247,272.8826886227545,9655.0,0.8760707936229758
levels/infiltration/niveau14.xml,Selectionneur,Mission 02,634,291,2262.2665615141955,209.87596683438488,2.4942528735632186,250.9195172413793,5250.0,0.5690920835211056
levels/infiltration/niveau15.xml,Selectionneur,Mission 03,335,273,4644.101492537314,64.87055522388059,1.1428571428571428,61.17971428571428,5833.0,0.20382281972615912
levels/blocklymaze/niveau07.xml,Selectionneur,Mission 04,420,224,2566.247619047619,85.74631190476191,1.9795918367346939,176.40830612244898,5833.0,0.5600466965459251
levels/blocklymaze/niveau08.xml,Selectionneur,Mission 05,310,154,1957.9935483870968,154.7718870967742,3.037037037037037,411.1924814814815,4960.0,0.6052432362122788
levels/infiltration/niveau16.xml,Selectionneur,Mission 06,243,149,2510.703703703704,119.98856378600824,3.3333333333333335,369.4898666666667,4999.0,0.49775881102146347
levels/infiltration/niveau20.xml,Selectionneur,Mission 07,294,167,2545.017006802721,113.70018233333332,2.1052631578947367,210.12131578947367,4704.0,0.4589674730436393
levels/selectionneur/niveau01.xml,Selectionneur,Mission 08,129,73,2405.4806201550387,116.9097519379845,1.8,223.74873333333335,4544.0,0.47062486352221866
levels/blocklymaze/niveau01.xml,Blocklymaze,Mission 01,136,119,6849.698529411765,24.16254411764706,1.0,43.0368,7999.0,0.14368064390401736
levels/blocklymaze/niveau02.xml,Blocklymaze,Mission 02,110,90,4296.263636363637,32.599745454545456,2.4,115.5374,5499.0,0.21871910595314847
levels/blocklymaze/niveau03.xml,Blocklymaze,Mission 03,99,78,5535.626262626262,32.10878787878788,1.3636363636363635,42.719727272727276,7047.0,0.214470517578223
levels/blocklymaze/niveau04.xml,Blocklymaze,Mission 04,1119,556,2453.6237712243073,67.24532797140304,1.6654676258992807,128.87260791366907,14143.0,0.8265132029113832
levels/blocklymaze/niveau05.xml,Blocklymaze,Mission 05,76,60,4076.9605263157896,49.26402631578947,1.25,105.4505,10500.0,0.6117180451127819
levels/blocklymaze/niveau06.xml,Blocklymaze,Mission 06,1247,309,1196.5364875701684,84.38368163592622,3.1077844311377247,272.8826886227545,9655.0,0.8760707936229758
levels/blocklymaze/niveau07.xml,Blocklymaze,Mission 07,420,224,2566.247619047619,85.74631190476191,1.9795918367346939,176.40830612244898,5833.0,0.5600466965459251
levels/blocklymaze/niveau08.xml,Blocklymaze,Mission 08,310,154,1957.9935483870968,154.7718870967742,3.037037037037037,411.1924814814815,4960.0,0.6052432362122788
levels/blocklymaze/niveau09.xml,Blocklymaze,Mission 09,57,32,2312.0701754385964,109.8748947368421,2.1666666666666665,181.01733333333334,4607.0,0.49813974919934956
levels/blocklymaze/niveau10.xml,Blocklymaze,Mission 10,35,15,1391.4571428571428,250.90922857142857,2.5,525.272,4116.0,0.6619394696654173
levels/infiltration/niveau01.xml,Infiltration,Mission 01,283,248,9350.33922261484,52.52505412367491,1.0,12.850000000000001,27971.0,0.6657130877474942
levels/infiltration/niveau02.xml,Infiltration,Mission 02,220,200,6064.095454545454,44.62755,1.0,15.575,7000.0,0.1337006493506494
levels/infiltration/niveau03.xml,Infiltration,Mission 03,213,188,5250.0,38.7823661971831,1.3333333333333333,51.303333333333335,6000.0,0.125
levels/tutoriel/nommerscript.xml,Infiltration,Mission 04,1797,1532,4962.971062882582,79.93228658875904,1.2276422764227641,108.85900813008129,13930.0,0.6437206702884004
levels/infiltration/niveau04.xml,Infiltration,Mission 05,217,157,4617.373271889401,77.79986175115208,1.3529411764705883,191.26382352941178,6750.0,0.31594470046082956
levels/infiltration/niveau05.xml,Infiltration,Mission 06,179,141,3647.8659217877093,73.78421787709497,1.6666666666666667,94.12333333333333,6750.0,0.45957541899441345
levels/infiltration/niveau06.xml,Infiltration,Mission 07,163,125,3439.60736196319,68.33024844785277,5.0,317.372,4875.0,0.29443951549473024
levels/infiltration/niveau07.xml,Infiltration,Mission 08,1394,1198,3364.2073170731705,67.86094272022956,1.4406779661016949,100.32559322033899,13908.0,0.7581099139291652
levels/tutoriel/ouvrirporte.xml,Infiltration,Mission 09,2622,2419,4714.301678108314,52.25114416475972,1.1451612903225807,64.92825806451613,14483.0,0.6744941187524467
levels/infiltration/niveau09.xml,Infiltration,Mission 10,184,123,2557.929347826087,100.357125,1.3333333333333333,76.59016666666666,5214.0,0.5094113256950351
levels/infiltration/niveau10.xml,Infiltration,Mission 11,1245,917,2882.5662650602408,61.18439277108434,1.3986013986013985,89.32776223776223,14168.0,0.7965438830420496
levels/infiltration/niveau11.xml,Infiltration,Mission 12,143,93,4479.608391608392,58.051897272727274,1.4,82.97160000000001,6888.0,0.3496503496503497
levels/infiltration/niveau12.xml,Infiltration,Mission 13,400,184,1914.0525,96.3543225,2.1842105263157894,206.54415789473683,6888.0,0.7221178135888502
levels/infiltration/niveau13.xml,Infiltration,Mission 14,251,83,1680.2788844621514,90.40230862549801,2.4827586206896552,226.25117241379309,6750.0,0.7510697948944961
levels/infiltration/niveau14.xml,Infiltration,Mission 15,634,291,2262.2665615141955,209.87596683438488,2.4942528735632186,250.9195172413793,5250.0,0.5690920835211056
levels/infiltration/niveau15.xml,Infiltration,Mission 16,335,273,4644.101492537314,64.87055522388059,1.1428571428571428,61.17971428571428,5833.0,0.20382281972615912
levels/infiltration/niveau16.xml,Infiltration,Mission 17,243,149,2510.703703703704,119.98856378600824,3.3333333333333335,369.4898666666667,4999.0,0.49775881102146347
levels/infiltration/niveau17.xml,Infiltration,Mission 18,221,148,3134.4072398190046,117.90879185520362,1.5,164.94175,6000.0,0.4775987933634992
levels/infiltration/niveau18.xml,Infiltration,Mission 19,132,85,2728.151515151515,92.50033333333333,1.2857142857142858,98.17957142857144,6750.0,0.5958294051627385
levels/infiltration/niveau19.xml,Infiltration,Mission 20,172,110,2507.1453488372094,141.06279069767442,1.6363636363636365,278.6218181818182,10500.0,0.7612242524916943
levels/infiltration/niveau20.xml,Infiltration,Mission 21,294,167,2545.017006802721,113.70018233333332,2.1052631578947367,210.12131578947367,4704.0,0.4589674730436393
levels/infiltration/niveau21.xml,Infiltration,Mission 22,66,57,5731.742424242424,50.56542424242424,0.0,0.0,6666.0,0.1401526516287993
